experiment,feature_number,network,libraryID,manual check - Library,manual check - CANOPUS,conciseConsensusLibrary,conciseConsensusCanopus,conciseConsensusLevelLibrary,GnpsJobID,Mirror Plot verified?
dataset2,5547,122,.alpha.-Bisabolol,correct - sesquiterpene,correct - sesquiterpene,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,89c9d8b0a49d467390b70dd337bc7015,
dataset2,7736,479,.alpha.-Cyclodextrin,correct,correct,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,subclass,89c9d8b0a49d467390b70dd337bc7015,
dataset1,1702,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1876,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9140,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11827,249,.alpha.-Ionone,correct (norterpenoid),correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13116,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13614,249,.alpha.-Ionone,correct (norterpenoid),correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13623,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15718,74,.alpha.-Ionone,correct (norterpenoid),,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1702,638,.alpha.-Ionone,correct (norterpenoid),NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1876,1663,.alpha.-Ionone,correct (norterpenoid),NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9140,1663,.alpha.-Ionone,correct (norterpenoid),NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11827,331,.alpha.-Ionone,correct (norterpenoid),NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13116,-1,.alpha.-Ionone,correct,NA,Sesquiterpenoids,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,13614,331,.alpha.-Ionone,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13623,1663,.alpha.-Ionone,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15718,638,.alpha.-Ionone,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14710,-1,.alpha.-L-Asp-L-Lys,correct,NA,"Amino acids, peptides, and analogues",NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,3396,-1,.alpha.-L-Asp-L-Lys,correct,NA,"Amino acids, peptides, and analogues",NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,10062,-1,.alpha.-L-Asp-L-Lys,correct,NA,"Amino acids, peptides, and analogues",NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,2112,5053,.alpha.-Pyrrolidinohexanophenone,correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12007,-1,.alpha.-Pyrrolidinohexanophenone,correct,NA,Carbonyl compounds,NA,NA,16616afa8edd490ea7e50cc316a20222,
dataset1,2112,1787,.alpha.-Pyrrolidinohexanophenone,correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13674,871,.beta.-Damascone,correct,Not correct?,Carbonyl compounds,Fatty acids and conjugates,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13732,871,.beta.-Damascone,correct,Not correct?,Carbonyl compounds,Fatty acids and conjugates,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13674,3890,.beta.-Damascone,correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,13732,3890,.beta.-Damascone,correct,NA,Carbonyl compounds,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1425,393,.beta.-Estradiol,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12982,393,.beta.-Estradiol,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15537,393,.beta.-Estradiol,correct,correct,Lipids and lipid-like molecules,Lipids and lipid-like molecules,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,1425,224,.beta.-Estradiol,correct,NA,Estrane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,12982,1846,.beta.-Estradiol,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,15537,224,.beta.-Estradiol,correct,NA,Estrane steroids,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18204,147,.beta.-Gentiobiose,correct,correct,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,18204,199,.beta.-Gentiobiose,correct,NA,Carbohydrates and carbohydrate conjugates,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2702,74,.gamma.-Dodecalactone,correct,correct,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14229,74,.gamma.-Dodecalactone,correct,correct,Lipids and lipid-like molecules,Fatty Acyls,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,2702,1663,.gamma.-Dodecalactone,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,14229,1663,.gamma.-Dodecalactone,correct,NA,Lipids and lipid-like molecules,NA,superclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9022,741,"""""""2,4-dihydroxybenzophenone""""""",correct,correct,Benzophenones,Benzophenones,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,9022,8236,"""""""2,4-dihydroxybenzophenone""""""",correct,NA,Benzophenones,NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11716,141,"""""""3,5-DIIODO-L-TYROSINE""""""",correct,correct,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",subclass,16616afa8edd490ea7e50cc316a20222,
dataset1,11716,894,"""""""3,5-DIIODO-L-TYROSINE""""""",correct,NA,"Amino acids, peptides, and analogues",NA,subclass,16616afa8edd490ea7e50cc316a20222,
dataset4,15245,-1,"""""""all-cis-5,8,11,14,17-icosapentaenoic acid""""""",correct,correct,Lipids and lipid-like molecules;Fatty Acyls;Fatty acids and conjugates,Lipids and lipid-like molecules,NA,a94feb20e4214375bf89dfbe2b28fbd4,
dataset1,15852,36,"""""""N,N-Dimethyldodecylamine N-oxide""""""",correct,correct,Aminoxides,Organic nitrogen compounds,subclass,16616afa8edd490ea7e50cc316a20222,
