,SMILES,inchikey,kingdom,superclass,CF_class,subclass,direct_parent,molecular_framework
0,None,None,None,None,None,None,None,None
1,CCCCCCCC(O)=NCC(CO)OC(=O)CC(O)CCCCC,InChIKey=JQTLPYSOHAUYNB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Aliphatic acyclic compounds
2,None,None,None,None,None,None,None,None
3,CC(C)CC(NC(=O)C1CCCN1)C(N)=O,InChIKey=VVRCMYBORQSUTG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic heteromonocyclic compounds
4,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None
8,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(O)=NCCCC)OC(C)=O,InChIKey=KBUZAFUGFNQJHZ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Aliphatic acyclic compounds
9,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCC(O)=O,InChIKey=GTUGBRJEKVKOKQ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,Aliphatic homomonocyclic compounds
10,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None
13,None,None,None,None,None,None,None,None
14,CCC=CCC=CCC=CCCCCCC(=O)OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,InChIKey=YXZLKWYMGZZHKP-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glycosyl compounds,Aliphatic heteromonocyclic compounds
15,CCCCC(=O)OCC(OC(=O)CCCC)C1OCC(O)C1O,InChIKey=JWNLGVDZQIYZAQ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Aliphatic heteromonocyclic compounds
16,None,None,None,None,None,None,None,None
17,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None
20,CCCCCCCCC(NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(O)=O,InChIKey=GCBZVCHTUVZTEP-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Aliphatic homopolycyclic compounds
21,CCCCCCCCCCCC(=O)CC(O)NC(=O)CCC(O)=O,InChIKey=MMZLJHLQADLWIU-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,Aliphatic acyclic compounds
22,CN(C=C(COC1OC(CO)C(O)C(O)C1N=O)C(N)NN=N)C1CC(O)C(CO)O1,InChIKey=PHNHLNDEWFFOQD-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glycosyl compounds,Aliphatic heteromonocyclic compounds
23,CCCCCCCCCCCC(=O)OCC(O)COC(=O)C(CC(O)=O)N=C(C)O,InChIKey=QHAKLDVQLZIWHX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aspartic acid and derivatives,Aliphatic acyclic compounds
