,SMILES,inchikey,kingdom,superclass,CF_class,subclass,direct_parent,molecular_framework
0,None,None,None,None,None,None,None,None
1,CCCCCCCCCCCCCCCC(N)=O,InChIKey=HSEMFIZWXHQJAE-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,Aliphatic acyclic compounds
2,None,None,None,None,None,None,None,None
3,CCCCCCCCCCCCCCC\C=C/CCCCC(N)=O,InChIKey=COUPDYRANTUKKV-MSUUIHNZSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,Aliphatic acyclic compounds
4,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None
8,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None
13,OC(=O)C(Cl)C(=O)C=C(Cl)C(O)=O,InChIKey=PLPVRWUZGSFJJB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,Medium-chain keto acids and derivatives,Aliphatic acyclic compounds
14,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None
17,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None
20,[H]\C1=C([H])/C(=O)N(C)CC(=O)OC(CCCCCCCCCCCCC)C(C)C(=O)C(C)(O)C(O)=NCC(O)=NC1=C,InChIKey=JRGSONPJAHDIGK-VHEBQXMUSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolide lactams,,Macrolide lactams,Aliphatic heteromonocyclic compounds
21,CC1(C)[C@H]2[C@@H]1[C@]1(C)[C@H](CCC3(CCCC3)C1=CC2=C)C1CCCCC1,InChIKey=MPMOQXSROVXILS-CNIHBODFSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Aristolane sesquiterpenoids,Aliphatic homopolycyclic compounds
22,None,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None
26,[H][C@@](CC(C)C)(N=C(O)[C@@]1([H])O[C@]1([H])C)C(O)=NCCCCNC(N)=N,InChIKey=OIPIHCXVIQVOBK-WOPDTQHZSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Guanidines,Aliphatic heteromonocyclic compounds
27,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None
29,O[As](O)(=O)c1ccc(cc1)\N=N\c1ccc(cc1)[As](O)(O)=O,InChIKey=ITRMROGJSNWFKO-FOCLMDBBSA-N,Organic compounds,Organoheterocyclic compounds,Azobenzenes,,Azobenzenes,Aromatic homomonocyclic compounds
30,None,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None
39,OC(CCl)CC(=O)C(O)=O,InChIKey=FHWPHVIGZZAXIQ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Halogenated fatty acids,Aliphatic acyclic compounds
40,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None
42,None,None,None,None,None,None,None,None
43,None,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None,None
48,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])C=CC4=CC=CC[C@]4(C)[C@]3([H])CC[C@]12C,InChIKey=QIKNIWLZQDIZOC-HVTJWUSDSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Cholestane steroids,Aliphatic homopolycyclic compounds
49,None,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None,None
51,None,None,None,None,None,None,None,None
52,None,None,None,None,None,None,None,None
53,None,None,None,None,None,None,None,None
54,None,None,None,None,None,None,None,None
55,None,None,None,None,None,None,None,None
56,None,None,None,None,None,None,None,None
57,None,None,None,None,None,None,None,None
58,CCCCCC[C@@]12CC[C@]3(C)[C@H](CC[C@@]45CO[C@@](O)(C[C@@H](O)[C@@H]34)[C@@H]5C)[C@@]1(C)CC[C@@]1(C)CC[C@](C)(C[C@@H]21)C([O-])=O,InChIKey=JCDUZHQRFHQQCS-QXLLTTRHSA-M,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Aliphatic heteropolycyclic compounds
59,None,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None,None
61,None,None,None,None,None,None,None,None
62,None,None,None,None,None,None,None,None
63,None,None,None,None,None,None,None,None
64,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None
66,None,None,None,None,None,None,None,None
67,None,None,None,None,None,None,None,None
68,None,None,None,None,None,None,None,None
69,None,None,None,None,None,None,None,None
70,None,None,None,None,None,None,None,None
71,None,None,None,None,None,None,None,None
72,None,None,None,None,None,None,None,None
73,None,None,None,None,None,None,None,None
74,None,None,None,None,None,None,None,None
75,None,None,None,None,None,None,None,None
76,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None
78,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None
80,None,None,None,None,None,None,None,None
81,None,None,None,None,None,None,None,None
82,None,None,None,None,None,None,None,None
83,None,None,None,None,None,None,None,None
84,None,None,None,None,None,None,None,None
85,None,None,None,None,None,None,None,None
86,None,None,None,None,None,None,None,None
87,None,None,None,None,None,None,None,None
88,None,None,None,None,None,None,None,None
89,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None
91,None,None,None,None,None,None,None,None
92,CCCCCCCCCCC[C@@H](O)[C@@H](N)CO,InChIKey=JDTJDLPFECSKQJ-UONOGXRCSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,"1,2-aminoalcohols",Aliphatic acyclic compounds
93,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None
95,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C([O-])C=CC(=C1)C(O)=O,InChIKey=LKMQQQABIGIHGL-LAAQXVIISA-M,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids,Sesterterpenoids,Aromatic homomonocyclic compounds
96,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None
100,None,None,None,None,None,None,None,None
101,None,None,None,None,None,None,None,None
102,None,None,None,None,None,None,None,None
